mode,question_id,answer_option,scenario,answer_text,competency_weights,competency_1_code,competency_1_label,competency_1_outcome,competency_1_weight,competency_2_code,competency_2_label,competency_2_outcome,competency_2_weight,competency_3_code,competency_3_label,competency_3_outcome,competency_3_weight
detailed,1,A,You encounter two completely contradictory news articles on the same topic. What would you do first?,Check a few more sources before choosing a side.,OT.Crit.1=1; OT.Crit.2=1; FL.ID.1=1,OT.Crit.1,Interpreting Information,OT,1,OT.Crit.2,Logical Thinking,OT,1,FL.ID.1,Making Meaning,FL,1
detailed,1,B,You encounter two completely contradictory news articles on the same topic. What would you do first?,Ask who wrote each one and what angle they might have.,OT.Crit.2=1; FK.SS.2=1; GC.SA.2=1,OT.Crit.2,Logical Thinking,OT,1,FK.SS.2,Politics,FK,1,GC.SA.2,Navigating Power,GC,1
detailed,1,C,You encounter two completely contradictory news articles on the same topic. What would you do first?,Send both to people I trust and compare reactions.,GC.IS.3=1; OT.Creat.2=1; GC.IS.4=1,GC.IS.3,Building Empathy,GC,1,OT.Creat.2,Sharing Ideas,OT,1,GC.IS.4,Productive Collaboration,GC,1
detailed,1,D,You encounter two completely contradictory news articles on the same topic. What would you do first?,Sit with the mess for a bit. Some topics are not simple.,OT.Creat.1=1; LL.SAw.1=1; LL.SM.3=1,OT.Creat.1,Creative Process,OT,1,LL.SAw.1,Wellness,LL,1,LL.SM.3,Self-Regulation,LL,1
detailed,2,A,You are part of a group working on a community project and things are going off track. Where would you start?,Pause the project and figure out what each person needs.,GC.IS.3=1; GC.IS.1=1; GC.SA.1=1,GC.IS.3,Building Empathy,GC,1,GC.IS.1,Healthy Relationships,GC,1,GC.SA.1,Diverse Perspectives,GC,1
detailed,2,B,You are part of a group working on a community project and things are going off track. Where would you start?,Look for the real reason things are breaking down.,OT.Crit.1=1; FL.MST.3=1; OT.PS.1=1,OT.Crit.1,Interpreting Information,OT,1,FL.MST.3,Interpreting Data,FL,1,OT.PS.1,Problem Seeking,OT,1
detailed,2,C,You are part of a group working on a community project and things are going off track. Where would you start?,Ask if we are even solving the right problem.,OT.PS.1=1; OT.Creat.1=1; OT.PS.2=1,OT.PS.1,Problem Seeking,OT,1,OT.Creat.1,Creative Process,OT,1,OT.PS.2,Problem Solving,OT,1
detailed,2,D,You are part of a group working on a community project and things are going off track. Where would you start?,"Make the next steps clear: roles, timing, action.",GC.IS.4=1; LL.SM.2=1; OT.PS.2=1,GC.IS.4,Productive Collaboration,GC,1,LL.SM.2,Pursuing Goals,LL,1,OT.PS.2,Problem Solving,OT,1
detailed,3,A,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Start with what I know, then fill the gaps.",LL.SD.2=1; LL.SAw.3=1; LL.SD.1=1,LL.SD.2,Wayfinding,LL,1,LL.SAw.3,Understanding Self,LL,1,LL.SD.1,Self-Motivation,LL,1
detailed,3,B,"You have to learn something completely new on your own - no teacher, no class. Where would you start?",Find the part that connects to something I already care about.,LL.SD.1=1; FK.SS.4=1; FL.ID.1=1,LL.SD.1,Self-Motivation,LL,1,FK.SS.4,Cultures,FK,1,FL.ID.1,Making Meaning,FL,1
